ticket_id,install,opened,category,body,first_response_h,resolved
T000047,I00065,2025-04-28,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",1,True
T000048,I00067,2024-11-09,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",3,True
T000049,I00067,2025-02-17,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",1,True
T000050,I00070,2024-09-28,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",4,True
T000051,I00070,2024-08-09,electrical,"control board error code 21, replaced the relay, fault cleared",12,False
T000052,I00072,2025-04-07,electrical,"control board error code 21, replaced the relay, fault cleared",30,True
T000053,I00073,2025-12-08,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",96,True
T000054,I00073,2025-10-26,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",12,True
T000055,I00073,2026-01-01,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",30,True
T000056,I00073,2026-01-13,wear,"drive wear and vibration, continuous three shift operation since install",12,True
T000057,I00074,2025-08-22,electrical,"control board error code 21, replaced the relay, fault cleared",54,True
T000058,I00075,2026-07-09,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",30,True
T000059,I00076,2025-06-26,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",8,True
T000060,I00078,2025-09-02,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",30,True
T000061,I00078,2025-04-07,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",96,True
T000062,I00080,2025-12-18,electrical,"power supply dropout, breaker tripped once, wiring inspected and fine",1,True
T000063,I00081,2025-11-02,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",3,True
T000064,I00083,2025-04-23,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",3,False
T000065,I00084,2026-01-21,electrical,"control board error code 21, replaced the relay, fault cleared",12,True
T000066,I00085,2025-03-27,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",54,True
T000067,I00086,2025-04-09,electrical,"power supply dropout, breaker tripped once, wiring inspected and fine",96,True
T000068,I00087,2025-02-08,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",30,True
T000069,I00088,2024-10-30,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",54,True
T000070,I00090,2024-12-05,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",4,True
T000071,I00092,2025-10-21,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",96,True
T000072,I00093,2026-09-12,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",4,True
T000073,I00093,2025-09-28,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",54,True
T000074,I00093,2026-03-08,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",12,True
T000075,I00093,2025-09-08,user-error,"wrong operating mode selected, user error, showed the team the correct sequence",12,True
T000076,I00094,2024-08-14,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",4,False
T000077,I00094,2025-04-28,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",54,True
T000078,I00094,2025-01-22,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",12,True
T000079,I00095,2025-10-09,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",1,True
T000080,I00095,2025-05-01,user-error,"guard interlock left open, machine correctly refused to start, user error",8,True
T000081,I00095,2025-04-22,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",3,False
T000082,I00097,2024-07-31,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",30,True
T000083,I00097,2025-02-21,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",4,True
T000084,I00098,2024-09-20,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",4,False
T000085,I00098,2024-10-20,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",4,True
T000086,I00098,2025-04-04,electrical,"power supply dropout, breaker tripped once, wiring inspected and fine",30,False
T000087,I00099,2025-10-28,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",3,True
T000088,I00099,2025-01-24,electrical,"control board error code 21, replaced the relay, fault cleared",40,True
T000089,I00102,2025-10-27,user-error,"guard interlock left open, machine correctly refused to start, user error",1,True
T000090,I00103,2026-03-28,user-error,"guard interlock left open, machine correctly refused to start, user error",1,True
T000091,I00104,2025-08-16,user-error,"wrong operating mode selected, user error, showed the team the correct sequence",1,True
T000092,I00106,2025-02-01,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",40,True
T000093,I00108,2024-08-16,electrical,"control board error code 21, replaced the relay, fault cleared",1,True
T000094,I00108,2024-10-27,user-error,"guard interlock left open, machine correctly refused to start, user error",3,True
T000095,I00109,2024-06-12,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",54,True
T000096,I00113,2025-05-20,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",12,True
T000097,I00115,2025-02-16,electrical,"control board error code 21, replaced the relay, fault cleared",30,True
T000098,I00116,2025-12-31,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",8,True
T000099,I00116,2026-02-12,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",40,False
T000100,I00117,2025-11-14,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",3,True
T000101,I00117,2025-02-19,electrical,"control board error code 21, replaced the relay, fault cleared",8,True
T000102,I00119,2025-03-13,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",12,True
T000103,I00119,2024-05-13,wear,"drive wear and vibration, continuous three shift operation since install",12,True
T000104,I00120,2026-02-10,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",3,True
T000105,I00121,2025-12-28,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",1,False
T000106,I00122,2025-04-28,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",96,True
T000107,I00122,2025-03-12,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",30,True
T000108,I00122,2025-06-05,wear,"drive wear and vibration, continuous three shift operation since install",54,True
T000109,I00122,2025-03-20,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",12,True
T000110,I00124,2025-07-21,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",30,True
T000111,I00125,2025-09-10,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",96,True
T000112,I00125,2025-10-17,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",12,True
T000113,I00125,2026-01-20,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",54,True
T000114,I00125,2025-03-18,user-error,"wrong operating mode selected, user error, showed the team the correct sequence",54,True
T000115,I00126,2024-10-31,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",30,True
T000116,I00127,2025-04-08,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",8,False
T000117,I00128,2025-04-18,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",30,True
T000118,I00131,2026-04-13,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",30,False
T000119,I00132,2025-04-04,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",8,True
T000120,I00135,2025-09-15,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",30,True
T000121,I00136,2024-07-14,electrical,"power supply dropout, breaker tripped once, wiring inspected and fine",1,False
T000122,I00137,2026-04-28,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",4,True
T000123,I00137,2026-05-27,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",96,True
T000124,I00139,2024-08-24,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",1,True
T000125,I00144,2025-09-16,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",18,True
T000126,I00146,2025-12-30,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",54,True
T000127,I00148,2024-12-12,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",54,True
T000128,I00149,2025-06-13,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",54,True
T000129,I00151,2025-07-14,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",40,True
T000130,I00151,2025-03-25,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",1,True
T000131,I00151,2025-03-14,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",40,True
T000132,I00151,2025-04-13,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",3,False
T000133,I00153,2025-03-18,wear,"drive wear and vibration, continuous three shift operation since install",30,True
T000134,I00153,2025-09-30,wear,"drive wear and vibration, continuous three shift operation since install",96,True
T000135,I00154,2025-03-26,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",12,True
T000136,I00154,2024-09-22,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",4,True
T000137,I00154,2024-06-16,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",30,False
T000138,I00155,2025-05-19,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",12,False
T000139,I00156,2025-01-25,electrical,"control board error code 21, replaced the relay, fault cleared",54,False
T000140,I00157,2024-04-26,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",8,True
T000141,I00159,2025-07-28,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",1,False
T000142,I00159,2025-04-12,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",3,True
T000143,I00159,2025-12-04,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",3,True
T000144,I00160,2025-02-04,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",18,True
T000145,I00161,2026-04-20,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",8,True
T000146,I00161,2026-02-04,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",3,True
T000147,I00162,2025-12-20,electrical,"control board error code 21, replaced the relay, fault cleared",40,True
T000148,I00163,2025-04-09,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",4,False
T000149,I00163,2025-09-20,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",12,True
T000150,I00165,2025-05-20,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",1,True
T000151,I00166,2026-01-25,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",12,True
T000152,I00167,2025-11-05,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",3,True
T000153,I00167,2025-02-20,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",18,True
T000154,I00168,2025-10-31,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",3,True
T000155,I00168,2026-01-26,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",8,True
T000156,I00170,2025-02-27,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",54,True
T000157,I00170,2025-06-11,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",12,True
T000158,I00172,2024-08-10,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",3,True
T000159,I00172,2024-10-08,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",40,True
T000160,I00175,2026-01-14,wear,"drive wear and vibration, continuous three shift operation since install",12,False
T000161,I00175,2025-10-22,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",30,False
T000162,I00176,2024-11-25,wear,"drive wear and vibration, continuous three shift operation since install",4,True
T000163,I00177,2025-01-22,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",1,True
T000164,I00177,2025-04-01,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",40,False
T000165,I00177,2024-09-21,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",18,True
T000166,I00177,2024-06-21,user-error,"guard interlock left open, machine correctly refused to start, user error",3,True
T000167,I00179,2025-06-29,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",4,True
T000168,I00179,2025-11-15,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",30,True
T000169,I00181,2025-04-13,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",4,True
T000170,I00181,2024-11-14,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",30,False
T000171,I00182,2025-05-29,electrical,"control board error code 21, replaced the relay, fault cleared",12,True
T000172,I00185,2025-04-29,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",40,True
T000173,I00185,2025-03-04,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",3,True
T000174,I00186,2025-02-01,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",96,True
T000175,I00186,2025-11-25,electrical,"control board error code 21, replaced the relay, fault cleared",12,True
T000176,I00187,2025-07-24,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",3,True
T000177,I00188,2025-10-20,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",1,True
T000178,I00201,2026-01-10,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",8,True
T000179,I00201,2025-08-27,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",18,True
T000180,I00201,2025-08-31,user-error,"wrong operating mode selected, user error, showed the team the correct sequence",1,True
T000181,I00203,2025-03-05,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",18,True
T000182,I00203,2025-01-17,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",40,False
T000183,I00207,2024-12-07,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",1,True
T000184,I00208,2025-09-27,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",12,True
T000185,I00210,2025-12-13,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",8,False
T000186,I00211,2025-10-20,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",3,False
T000187,I00213,2024-12-31,wear,"drive wear and vibration, continuous three shift operation since install",96,True
T000188,I00214,2026-04-10,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",1,False
T000189,I00214,2026-01-02,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",1,True
T000190,I00214,2026-02-28,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",1,True
T000191,I00219,2025-10-16,user-error,"wrong operating mode selected, user error, showed the team the correct sequence",4,True
T000192,I00220,2026-04-28,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",96,True
T000193,I00220,2026-03-22,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",54,True
T000194,I00222,2026-05-06,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",30,True
T000195,I00222,2025-06-30,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",12,True
T000196,I00222,2026-05-08,user-error,"guard interlock left open, machine correctly refused to start, user error",12,True
T000197,I00223,2024-09-17,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",96,False
T000198,I00227,2025-10-02,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",4,True
T000199,I00227,2025-08-27,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",4,True
T000200,I00229,2025-10-14,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",12,True
T000201,I00229,2025-10-03,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",96,True
T000202,I00235,2025-04-25,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",30,True
T000203,I00236,2025-06-14,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",54,True
T000204,I00236,2025-10-12,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",4,True
T000205,I00236,2025-04-05,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",54,True
T000206,I00237,2025-08-28,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",4,True
T000207,I00238,2025-03-31,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",12,True
T000208,I00238,2025-09-15,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",54,True
T000209,I00241,2025-06-19,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",8,True
T000210,I00241,2025-12-09,wear,"drive wear and vibration, continuous three shift operation since install",18,False
T000211,I00241,2025-07-01,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",8,True
T000212,I00242,2025-12-02,electrical,"control board error code 21, replaced the relay, fault cleared",18,True
T000213,I00242,2025-09-11,electrical,"power supply dropout, breaker tripped once, wiring inspected and fine",1,True
T000214,I00244,2025-07-09,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",4,True
T000215,I00244,2026-02-22,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",4,True
T000216,I00245,2024-11-18,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",96,False
T000217,I00245,2025-04-09,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",4,True
T000218,I00248,2025-04-16,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",12,True
T000219,I00248,2025-04-02,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",12,True
T000220,I00249,2025-04-30,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",18,True
T000221,I00249,2024-07-22,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",3,True
T000222,I00250,2025-07-10,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",30,True
T000223,I00251,2025-09-30,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",12,True
T000224,I00253,2024-07-01,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",54,True
T000225,I00253,2025-06-29,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",4,True
T000226,I00254,2025-05-02,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",30,True
T000227,I00257,2025-09-29,user-error,"wrong operating mode selected, user error, showed the team the correct sequence",1,True
T000228,I00258,2024-10-17,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",3,True
T000229,I00258,2025-08-08,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",8,True
T000230,I00259,2025-06-14,electrical,"power supply dropout, breaker tripped once, wiring inspected and fine",12,True
T000231,I00264,2025-05-29,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",30,True
T000232,I00267,2026-04-09,wear,"drive wear and vibration, continuous three shift operation since install",30,True
T000233,I00270,2024-05-14,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",3,True
T000234,I00270,2024-11-26,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",8,False
T000235,I00270,2024-08-02,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",18,True
T000236,I00271,2026-02-01,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",30,True
T000237,I00271,2025-05-04,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",4,True
T000238,I00272,2025-03-02,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",12,True
T000239,I00273,2025-02-21,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",3,True
T000240,I00273,2025-01-25,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",8,True
T000241,I00275,2025-11-12,user-error,"wrong operating mode selected, user error, showed the team the correct sequence",3,True
T000242,I00276,2024-08-06,wear,"drive wear and vibration, continuous three shift operation since install",1,True
T000243,I00278,2026-03-28,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",3,False
T000244,I00278,2026-02-03,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",3,True
T000245,I00279,2024-11-22,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",4,True
T000246,I00280,2025-08-21,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",30,True
T000247,I00281,2025-07-29,electrical,"power supply dropout, breaker tripped once, wiring inspected and fine",12,True
T000248,I00282,2026-01-30,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",30,True
T000249,I00282,2025-05-06,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",4,True
T000250,I00282,2025-12-04,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",54,True
T000251,I00285,2024-07-25,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",54,True
T000252,I00285,2024-11-08,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",54,True
T000253,I00286,2025-05-06,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",1,True
T000254,I00288,2025-01-18,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",1,True
T000255,I00288,2025-08-04,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",1,False
T000256,I00290,2024-12-25,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",1,False
T000257,I00290,2025-12-12,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",3,True
T000258,I00292,2025-11-07,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",3,True
T000259,I00296,2025-12-28,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",12,True
T000260,I00298,2025-09-07,user-error,"guard interlock left open, machine correctly refused to start, user error",30,True
T000261,I00299,2025-01-20,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",18,False
T000262,I00300,2025-01-04,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",40,True
T000263,I00300,2024-12-30,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",18,True
T000264,I00300,2025-03-23,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",3,True
T000265,I00301,2024-12-22,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",4,True
T000266,I00301,2025-04-03,electrical,"control board error code 21, replaced the relay, fault cleared",30,True
T000267,I00302,2025-11-22,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",1,True
T000268,I00302,2025-01-01,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",8,True
T000269,I00305,2024-07-20,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",1,True
T000270,I00305,2024-12-02,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",3,False
T000271,I00307,2025-05-23,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",18,True
T000272,I00307,2024-11-04,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",1,True
T000273,I00307,2025-04-16,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",8,True
T000274,I00308,2024-05-25,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",3,True
T000275,I00313,2026-05-09,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",30,True
T000276,I00313,2025-12-21,electrical,"power supply dropout, breaker tripped once, wiring inspected and fine",12,True
