feedback_id,install,score,body,ts
F000102,I00244,2,wear parts go faster than expected at our duty cycle,2025-10-10
F000103,I00246,5,"solid machine, support answered quickly when we asked",2025-07-08
F000104,I00247,5,"solid machine, support answered quickly when we asked",2026-01-25
F000105,I00252,5,"no complaints, the line has kept pace all quarter",2025-05-24
F000106,I00257,5,"solid machine, support answered quickly when we asked",2024-12-26
F000107,I00258,3,"too much downtime in hot weather, we lost a shift to it",2025-09-04
F000108,I00259,5,"runs well, uptime has been excellent since commissioning",2025-10-27
F000109,I00262,5,"solid machine, support answered quickly when we asked",2025-02-20
F000110,I00263,4,"reliable so far, operators like the controls",2025-05-08
F000111,I00265,5,"solid machine, support answered quickly when we asked",2027-01-18
F000112,I00268,4,"no complaints, the line has kept pace all quarter",2025-07-02
F000113,I00272,2,"too much downtime in hot weather, we lost a shift to it",2025-11-12
F000114,I00273,2,"keeps overheating in summer, not what we were promised on uptime",2025-02-02
F000115,I00274,5,"runs well, uptime has been excellent since commissioning",2025-07-12
F000116,I00276,2,support took days to come back to us while the line was stopped,2025-03-13
F000117,I00281,5,"runs well, uptime has been excellent since commissioning",2025-05-16
F000118,I00285,3,"keeps overheating in summer, not what we were promised on uptime",2025-08-16
F000119,I00286,2,"keeps overheating in summer, not what we were promised on uptime",2025-04-11
F000120,I00294,4,"no complaints, the line has kept pace all quarter",2026-06-19
F000121,I00295,5,"solid machine, support answered quickly when we asked",2025-07-25
F000122,I00297,5,"no complaints, the line has kept pace all quarter",2026-06-08
F000123,I00298,5,"no complaints, the line has kept pace all quarter",2025-09-05
F000124,I00300,1,"keeps overheating in summer, not what we were promised on uptime",2026-01-22
F000125,I00303,4,"no complaints, the line has kept pace all quarter",2026-02-01
F000126,I00306,4,"solid machine, support answered quickly when we asked",2026-10-04
F000127,I00312,4,"runs well, uptime has been excellent since commissioning",2025-11-01
F000128,I00316,4,"no complaints, the line has kept pace all quarter",2025-01-13
F000129,I00317,3,"too much downtime in hot weather, we lost a shift to it",2025-07-27
F000130,I00318,2,"too much downtime in hot weather, we lost a shift to it",2026-02-21
F000131,I00319,4,"reliable so far, operators like the controls",2026-09-25
F000132,I00320,5,"solid machine, support answered quickly when we asked",2025-10-22
F000133,I00323,5,"solid machine, support answered quickly when we asked",2025-02-01
F000134,I00325,5,"solid machine, support answered quickly when we asked",2024-07-27
F000135,I00326,5,"no complaints, the line has kept pace all quarter",2025-02-07
F000136,I00327,5,"reliable so far, operators like the controls",2025-04-09
F000137,I00329,5,"solid machine, support answered quickly when we asked",2025-07-05
F000138,I00330,4,"runs well, uptime has been excellent since commissioning",2026-06-05
F000139,I00333,2,"too much downtime in hot weather, we lost a shift to it",2026-03-23
F000140,I00335,5,"no complaints, the line has kept pace all quarter",2025-08-03
F000141,I00337,4,"runs well, uptime has been excellent since commissioning",2025-06-19
F000142,I00338,2,support took days to come back to us while the line was stopped,2025-03-24
F000143,I00342,4,"solid machine, support answered quickly when we asked",2026-08-01
F000144,I00343,5,"no complaints, the line has kept pace all quarter",2024-08-28
F000145,I00351,5,"solid machine, support answered quickly when we asked",2026-01-03
F000146,I00353,5,"solid machine, support answered quickly when we asked",2025-12-23
F000147,I00364,4,"no complaints, the line has kept pace all quarter",2026-05-25
F000148,I00365,1,"keeps overheating in summer, not what we were promised on uptime",2025-11-11
F000149,I00367,1,wear parts go faster than expected at our duty cycle,2025-04-04
F000150,I00371,2,support took days to come back to us while the line was stopped,2026-01-21
F000151,I00372,4,"runs well, uptime has been excellent since commissioning",2025-04-30
F000152,I00375,4,"reliable so far, operators like the controls",2025-03-09
F000153,I00376,5,"solid machine, support answered quickly when we asked",2025-04-22
F000154,I00380,4,"reliable so far, operators like the controls",2025-07-09
F000155,I00383,5,"reliable so far, operators like the controls",2025-06-03
F000156,I00386,5,"runs well, uptime has been excellent since commissioning",2026-01-04
F000157,I00397,1,"too much downtime in hot weather, we lost a shift to it",2025-12-20
F000158,I00399,5,"runs well, uptime has been excellent since commissioning",2024-12-15
F000159,I00401,2,"keeps overheating in summer, not what we were promised on uptime",2025-12-15
F000160,I00404,5,"reliable so far, operators like the controls",2026-04-22
F000161,I00406,4,"solid machine, support answered quickly when we asked",2026-09-06
F000162,I00407,4,"reliable so far, operators like the controls",2025-08-15
F000163,I00408,5,"no complaints, the line has kept pace all quarter",2024-07-15
F000164,I00409,5,"runs well, uptime has been excellent since commissioning",2024-08-07
F000165,I00411,2,support took days to come back to us while the line was stopped,2026-06-12
F000166,I00412,4,"runs well, uptime has been excellent since commissioning",2025-02-13
F000167,I00414,2,"too much downtime in hot weather, we lost a shift to it",2025-10-27
F000168,I00419,5,"runs well, uptime has been excellent since commissioning",2025-01-22
F000169,I00422,5,"reliable so far, operators like the controls",2025-10-18
F000170,I00425,5,"runs well, uptime has been excellent since commissioning",2025-04-05
F000171,I00428,5,"solid machine, support answered quickly when we asked",2025-09-18
F000172,I00429,4,"reliable so far, operators like the controls",2024-10-17
F000173,I00430,3,"keeps overheating in summer, not what we were promised on uptime",2025-07-15
F000174,I00432,4,"runs well, uptime has been excellent since commissioning",2025-06-08
F000175,I00433,5,"solid machine, support answered quickly when we asked",2025-11-22
F000176,I00442,3,support took days to come back to us while the line was stopped,2024-11-05
F000177,I00449,5,"no complaints, the line has kept pace all quarter",2025-04-27
F000178,I00450,4,"reliable so far, operators like the controls",2025-06-16
F000179,I00454,4,"solid machine, support answered quickly when we asked",2025-07-16
F000180,I00456,4,"reliable so far, operators like the controls",2025-09-29
F000181,I00460,5,"solid machine, support answered quickly when we asked",2026-06-30
F000182,I00464,2,"too much downtime in hot weather, we lost a shift to it",2025-07-09
F000183,I00473,3,"keeps overheating in summer, not what we were promised on uptime",2025-10-15
F000184,I00474,5,"solid machine, support answered quickly when we asked",2026-06-02
F000185,I00480,2,wear parts go faster than expected at our duty cycle,2024-11-19
F000186,I00481,2,wear parts go faster than expected at our duty cycle,2025-07-18
F000187,I00483,4,"no complaints, the line has kept pace all quarter",2024-08-08
F000188,I00486,5,"runs well, uptime has been excellent since commissioning",2026-08-02
F000189,I00487,4,"no complaints, the line has kept pace all quarter",2024-08-01
F000190,I00490,5,"solid machine, support answered quickly when we asked",2025-03-27
F000191,I00492,3,wear parts go faster than expected at our duty cycle,2025-11-17
F000192,I00499,4,"no complaints, the line has kept pace all quarter",2024-12-26
F000193,I00502,3,support took days to come back to us while the line was stopped,2025-07-18
F000194,I00503,1,"keeps overheating in summer, not what we were promised on uptime",2026-03-11
F000195,I00504,1,wear parts go faster than expected at our duty cycle,2025-09-16
F000196,I00506,5,"reliable so far, operators like the controls",2024-12-26
F000197,I00510,4,"runs well, uptime has been excellent since commissioning",2025-10-03
F000198,I00511,4,"runs well, uptime has been excellent since commissioning",2026-03-04
F000199,I00512,3,"too much downtime in hot weather, we lost a shift to it",2025-06-19
F000200,I00521,4,"no complaints, the line has kept pace all quarter",2026-03-07
F000201,I00522,4,"runs well, uptime has been excellent since commissioning",2025-12-03
F000202,I00523,4,"runs well, uptime has been excellent since commissioning",2025-06-17
F000203,I00524,5,"reliable so far, operators like the controls",2026-10-21
F000204,I00525,1,support took days to come back to us while the line was stopped,2026-01-08
F000205,I00530,1,support took days to come back to us while the line was stopped,2026-03-27
F000206,I00531,1,"too much downtime in hot weather, we lost a shift to it",2025-10-21
F000207,I00532,1,support took days to come back to us while the line was stopped,2025-10-25
F000208,I00533,4,"reliable so far, operators like the controls",2024-07-11
F000209,I00535,5,"no complaints, the line has kept pace all quarter",2026-04-17
F000210,I00539,4,"reliable so far, operators like the controls",2026-06-13
F000211,I00542,5,"reliable so far, operators like the controls",2025-09-07
F000212,I00545,4,"no complaints, the line has kept pace all quarter",2025-04-15
F000213,I00546,5,"solid machine, support answered quickly when we asked",2025-06-06
F000214,I00550,1,wear parts go faster than expected at our duty cycle,2025-04-18
F000215,I00553,3,support took days to come back to us while the line was stopped,2025-07-29
F000216,I00554,1,wear parts go faster than expected at our duty cycle,2025-07-15
F000217,I00555,2,support took days to come back to us while the line was stopped,2025-06-08
F000218,I00556,4,"solid machine, support answered quickly when we asked",2025-05-01
F000219,I00560,3,support took days to come back to us while the line was stopped,2025-08-08
F000220,I00561,2,support took days to come back to us while the line was stopped,2025-01-13
F000221,I00563,4,"solid machine, support answered quickly when we asked",2025-04-27
F000222,I00564,4,"runs well, uptime has been excellent since commissioning",2025-12-01
F000223,I00565,1,"keeps overheating in summer, not what we were promised on uptime",2025-05-23
F000224,I00566,1,support took days to come back to us while the line was stopped,2026-07-16
F000225,I00567,2,wear parts go faster than expected at our duty cycle,2025-06-29
F000226,I00569,4,"solid machine, support answered quickly when we asked",2025-10-21
F000227,I00572,4,"reliable so far, operators like the controls",2025-07-24
F000228,I00574,5,"no complaints, the line has kept pace all quarter",2024-12-31
F000229,I00580,5,"solid machine, support answered quickly when we asked",2025-07-30
F000230,I00582,1,"too much downtime in hot weather, we lost a shift to it",2026-09-22
F000231,I00583,5,"no complaints, the line has kept pace all quarter",2026-03-18
F000232,I00586,5,"no complaints, the line has kept pace all quarter",2025-09-07
F000233,I00588,4,"solid machine, support answered quickly when we asked",2025-07-28
F000234,I00589,5,"runs well, uptime has been excellent since commissioning",2025-07-07
F000235,I00590,5,"runs well, uptime has been excellent since commissioning",2026-01-31
F000236,I00591,2,"too much downtime in hot weather, we lost a shift to it",2025-03-08
F000237,I00592,5,"solid machine, support answered quickly when we asked",2025-02-28
F000238,I00593,4,"reliable so far, operators like the controls",2026-02-04
F000239,I00594,4,"no complaints, the line has kept pace all quarter",2026-08-15
F000240,I00598,5,"no complaints, the line has kept pace all quarter",2026-01-09
F000241,I00599,2,wear parts go faster than expected at our duty cycle,2024-11-18
F000242,I00600,5,"reliable so far, operators like the controls",2025-02-11
F000243,I00601,3,"too much downtime in hot weather, we lost a shift to it",2026-08-24
F000244,I00602,5,"reliable so far, operators like the controls",2024-10-13
F000245,I00603,3,"too much downtime in hot weather, we lost a shift to it",2025-06-22
F000246,I00604,3,wear parts go faster than expected at our duty cycle,2025-12-26
F000247,I00607,3,"keeps overheating in summer, not what we were promised on uptime",2025-11-13
F000248,I00610,5,"reliable so far, operators like the controls",2025-07-22
F000249,I00613,2,"keeps overheating in summer, not what we were promised on uptime",2025-04-25
F000250,I00617,2,"keeps overheating in summer, not what we were promised on uptime",2024-12-31
F000251,I00618,5,"reliable so far, operators like the controls",2025-02-13
F000252,I00619,1,support took days to come back to us while the line was stopped,2026-01-05
F000253,I00620,5,"runs well, uptime has been excellent since commissioning",2024-12-06
F000254,I00624,4,"reliable so far, operators like the controls",2025-01-28
F000255,I00630,4,"no complaints, the line has kept pace all quarter",2025-08-06
F000256,I00634,3,"keeps overheating in summer, not what we were promised on uptime",2025-10-21
F000257,I00636,5,"solid machine, support answered quickly when we asked",2025-01-06
F000258,I00637,3,wear parts go faster than expected at our duty cycle,2026-04-04
F000259,I00639,4,"reliable so far, operators like the controls",2025-10-24
F000260,I00640,1,wear parts go faster than expected at our duty cycle,2026-02-06
F000261,I00643,5,"runs well, uptime has been excellent since commissioning",2025-10-06
F000262,I00644,5,"solid machine, support answered quickly when we asked",2025-02-19
F000263,I00645,4,"reliable so far, operators like the controls",2025-09-04
F000264,I00647,4,"reliable so far, operators like the controls",2025-09-02
F000265,I00649,5,"reliable so far, operators like the controls",2026-02-14
F000266,I00650,5,"solid machine, support answered quickly when we asked",2025-07-20
F000267,I00651,2,"too much downtime in hot weather, we lost a shift to it",2026-02-02
F000268,I00652,4,"reliable so far, operators like the controls",2025-12-17
F000269,I00654,4,"reliable so far, operators like the controls",2025-01-03
F000270,I00656,5,"no complaints, the line has kept pace all quarter",2025-08-28
F000271,I00657,4,"solid machine, support answered quickly when we asked",2025-05-07
F000272,I00661,5,"no complaints, the line has kept pace all quarter",2025-04-04
F000273,I00662,4,"runs well, uptime has been excellent since commissioning",2025-10-05
F000274,I00663,1,"too much downtime in hot weather, we lost a shift to it",2024-10-15
F000275,I00665,4,"no complaints, the line has kept pace all quarter",2025-07-06
F000276,I00667,2,support took days to come back to us while the line was stopped,2025-12-14
F000277,I00670,3,"keeps overheating in summer, not what we were promised on uptime",2025-03-18
F000278,I00674,4,"runs well, uptime has been excellent since commissioning",2025-06-07
F000279,I00678,4,"reliable so far, operators like the controls",2026-01-04
F000280,I00679,5,"reliable so far, operators like the controls",2025-01-20
F000281,I00681,4,"runs well, uptime has been excellent since commissioning",2025-09-09
F000282,I00683,2,support took days to come back to us while the line was stopped,2025-07-16
F000283,I00684,5,"runs well, uptime has been excellent since commissioning",2024-11-21
F000284,I00685,5,"reliable so far, operators like the controls",2025-07-27
F000285,I00686,5,"runs well, uptime has been excellent since commissioning",2025-09-21
F000286,I00687,1,"keeps overheating in summer, not what we were promised on uptime",2025-11-23
F000287,I00688,5,"solid machine, support answered quickly when we asked",2025-10-03
F000288,I00690,2,wear parts go faster than expected at our duty cycle,2025-11-30
F000289,I00693,5,"no complaints, the line has kept pace all quarter",2026-05-24
F000290,I00695,5,"no complaints, the line has kept pace all quarter",2024-09-11
F000291,I00698,5,"solid machine, support answered quickly when we asked",2026-01-20
F000292,I00699,4,"solid machine, support answered quickly when we asked",2025-08-19
F000293,I00702,4,"no complaints, the line has kept pace all quarter",2025-05-04
F000294,I00703,2,support took days to come back to us while the line was stopped,2025-09-08
F000295,I00705,5,"runs well, uptime has been excellent since commissioning",2025-07-17
F000296,I00706,3,"too much downtime in hot weather, we lost a shift to it",2026-11-20
F000297,I00708,5,"runs well, uptime has been excellent since commissioning",2026-02-21
F000298,I00710,4,"runs well, uptime has been excellent since commissioning",2024-11-22
F000299,I00712,1,"too much downtime in hot weather, we lost a shift to it",2025-05-16
F000300,I00713,3,"keeps overheating in summer, not what we were promised on uptime",2025-07-04
F000301,I00717,5,"solid machine, support answered quickly when we asked",2025-02-14
F000302,I00718,5,"solid machine, support answered quickly when we asked",2026-10-21
F000303,I00721,4,"no complaints, the line has kept pace all quarter",2025-03-31
F000304,I00722,2,"too much downtime in hot weather, we lost a shift to it",2025-07-27
F000305,I00725,2,"too much downtime in hot weather, we lost a shift to it",2025-11-18
F000306,I00727,5,"runs well, uptime has been excellent since commissioning",2025-03-11
F000307,I00728,4,"runs well, uptime has been excellent since commissioning",2025-06-04
F000308,I00731,1,wear parts go faster than expected at our duty cycle,2025-06-17
F000309,I00732,4,"reliable so far, operators like the controls",2025-06-15
F000310,I00733,5,"solid machine, support answered quickly when we asked",2025-07-03
F000311,I00737,5,"runs well, uptime has been excellent since commissioning",2026-05-26
F000312,I00739,4,"runs well, uptime has been excellent since commissioning",2026-01-22
F000313,I00740,5,"no complaints, the line has kept pace all quarter",2026-06-16
F000314,I00742,5,"solid machine, support answered quickly when we asked",2025-08-15
F000315,I00744,1,support took days to come back to us while the line was stopped,2025-06-26
F000316,I00745,4,"solid machine, support answered quickly when we asked",2025-03-24
F000317,I00751,5,"solid machine, support answered quickly when we asked",2025-05-15
F000318,I00752,2,support took days to come back to us while the line was stopped,2026-01-26
F000319,I00756,4,"runs well, uptime has been excellent since commissioning",2025-06-20
F000320,I00757,5,"no complaints, the line has kept pace all quarter",2025-05-29
F000321,I00758,2,wear parts go faster than expected at our duty cycle,2025-12-27
F000322,I00759,4,"runs well, uptime has been excellent since commissioning",2025-01-14
F000323,I00760,1,"too much downtime in hot weather, we lost a shift to it",2026-09-23
F000324,I00762,4,"solid machine, support answered quickly when we asked",2025-11-23
F000325,I00765,4,"solid machine, support answered quickly when we asked",2025-10-28
F000326,I00768,2,wear parts go faster than expected at our duty cycle,2025-07-14
F000327,I00771,3,"keeps overheating in summer, not what we were promised on uptime",2025-08-17
F000328,I00775,5,"solid machine, support answered quickly when we asked",2025-09-13
F000329,I00776,4,"solid machine, support answered quickly when we asked",2025-09-03
F000330,I00779,2,"keeps overheating in summer, not what we were promised on uptime",2025-08-25
F000331,I00783,5,"reliable so far, operators like the controls",2025-12-14
F000332,I00784,4,"runs well, uptime has been excellent since commissioning",2025-05-22
F000333,I00786,1,"too much downtime in hot weather, we lost a shift to it",2025-06-19
F000334,I00787,4,"solid machine, support answered quickly when we asked",2025-03-28
F000335,I00788,4,"no complaints, the line has kept pace all quarter",2025-03-12
F000336,I00791,2,"keeps overheating in summer, not what we were promised on uptime",2026-04-30
F000337,I00793,2,"too much downtime in hot weather, we lost a shift to it",2025-03-02
F000338,I00796,4,"reliable so far, operators like the controls",2026-02-24
F000339,I00798,2,wear parts go faster than expected at our duty cycle,2026-01-15
F000340,I00803,4,"runs well, uptime has been excellent since commissioning",2025-10-17
F000341,I00804,2,"keeps overheating in summer, not what we were promised on uptime",2025-01-06
F000342,I00805,1,"too much downtime in hot weather, we lost a shift to it",2025-08-11
F000343,I00806,4,"runs well, uptime has been excellent since commissioning",2025-08-25
F000344,I00809,5,"reliable so far, operators like the controls",2024-09-16
F000345,I00811,4,"reliable so far, operators like the controls",2025-10-26
F000346,I00819,3,"keeps overheating in summer, not what we were promised on uptime",2024-11-06
F000347,I00822,2,"keeps overheating in summer, not what we were promised on uptime",2026-12-26
F000348,I00824,5,"no complaints, the line has kept pace all quarter",2025-08-14
F000349,I00825,1,wear parts go faster than expected at our duty cycle,2024-08-25
F000350,I00826,2,"keeps overheating in summer, not what we were promised on uptime",2026-04-29
F000351,I00827,4,"reliable so far, operators like the controls",2025-09-06
F000352,I00831,3,"too much downtime in hot weather, we lost a shift to it",2025-10-08
F000353,I00835,4,"runs well, uptime has been excellent since commissioning",2026-03-18
F000354,I00840,5,"reliable so far, operators like the controls",2025-11-18
F000355,I00842,2,"keeps overheating in summer, not what we were promised on uptime",2025-01-28
F000356,I00844,3,wear parts go faster than expected at our duty cycle,2025-01-12
F000357,I00854,4,"runs well, uptime has been excellent since commissioning",2025-11-21
F000358,I00855,5,"runs well, uptime has been excellent since commissioning",2026-03-17
F000359,I00856,5,"reliable so far, operators like the controls",2025-08-28
F000360,I00857,5,"no complaints, the line has kept pace all quarter",2025-10-20
F000361,I00858,5,"solid machine, support answered quickly when we asked",2025-08-08
F000362,I00859,3,wear parts go faster than expected at our duty cycle,2025-07-11
F000363,I00861,1,wear parts go faster than expected at our duty cycle,2025-11-25
F000364,I00862,5,"solid machine, support answered quickly when we asked",2025-04-06
F000365,I00874,1,wear parts go faster than expected at our duty cycle,2026-05-16
F000366,I00877,4,"solid machine, support answered quickly when we asked",2026-02-13
F000367,I00879,4,"runs well, uptime has been excellent since commissioning",2025-10-12
F000368,I00881,4,"reliable so far, operators like the controls",2024-10-06
F000369,I00885,3,"keeps overheating in summer, not what we were promised on uptime",2025-07-29
F000370,I00889,2,"keeps overheating in summer, not what we were promised on uptime",2024-10-13
F000371,I00891,4,"no complaints, the line has kept pace all quarter",2025-10-23
F000372,I00893,5,"reliable so far, operators like the controls",2024-11-17
F000373,I00899,1,support took days to come back to us while the line was stopped,2025-05-01
F000374,I00901,4,"no complaints, the line has kept pace all quarter",2026-06-12
F000375,I00902,5,"reliable so far, operators like the controls",2024-11-15
F000376,I00903,4,"runs well, uptime has been excellent since commissioning",2026-01-03
F000377,I00904,5,"reliable so far, operators like the controls",2025-12-25
F000378,I00907,4,"no complaints, the line has kept pace all quarter",2026-02-11
F000379,I00909,4,"no complaints, the line has kept pace all quarter",2025-08-30
F000380,I00910,2,wear parts go faster than expected at our duty cycle,2026-06-17
F000381,I00913,2,wear parts go faster than expected at our duty cycle,2025-07-31
F000382,I00917,4,"reliable so far, operators like the controls",2026-01-15
F000383,I00921,3,support took days to come back to us while the line was stopped,2025-09-05
F000384,I00922,4,"reliable so far, operators like the controls",2026-08-31
F000385,I00924,3,"too much downtime in hot weather, we lost a shift to it",2025-07-29
F000386,I00926,5,"reliable so far, operators like the controls",2024-10-08
F000387,I00930,5,"runs well, uptime has been excellent since commissioning",2026-07-23
F000388,I00934,5,"solid machine, support answered quickly when we asked",2026-06-09
F000389,I00939,2,support took days to come back to us while the line was stopped,2025-06-11
F000390,I00940,3,support took days to come back to us while the line was stopped,2026-04-01
F000391,I00942,4,"reliable so far, operators like the controls",2025-08-20
F000392,I00943,5,"no complaints, the line has kept pace all quarter",2024-10-27
F000393,I00945,5,"reliable so far, operators like the controls",2026-01-30
F000394,I00946,4,"no complaints, the line has kept pace all quarter",2025-10-12
F000395,I00949,2,"keeps overheating in summer, not what we were promised on uptime",2026-03-17
F000396,I00952,5,"solid machine, support answered quickly when we asked",2026-05-28
F000397,I00956,1,support took days to come back to us while the line was stopped,2025-07-10
F000398,I00958,5,"solid machine, support answered quickly when we asked",2024-10-28
F000399,I00960,4,"no complaints, the line has kept pace all quarter",2026-01-12
F000400,I00961,5,"runs well, uptime has been excellent since commissioning",2025-01-28
F000401,I00964,5,"reliable so far, operators like the controls",2025-05-12
F000402,I00966,5,"no complaints, the line has kept pace all quarter",2025-08-15
